Date,Open,High,Low,Close,Adj Close,Volume
8/1/2022,22.41,24.68,20.76,21.15,21.15,0
8/8/2022,21.74,22.34,19.120001,19.530001,19.530001,0
8/15/2022,20.74,21.27,19.41,20.6,20.6,0
8/22/2022,22.41,25.9,21.67,25.559999,25.559999,0
8/29/2022,26.860001,27.690001,23.190001,25.469999,25.469999,0
9/5/2022,25.459999,27.799999,22.639999,22.790001,22.790001,0
9/12/2022,23.58,28.450001,23.16,26.299999,26.299999,0
9/19/2022,27.690001,32.310001,25.549999,29.92,29.92,0
9/26/2022,31.74,34.880001,29.389999,31.620001,31.620001,0
10/3/2022,33,33.060001,28.5,31.360001,31.360001,0
10/10/2022,32.93,34.529999,31.139999,32.02,32.02,0
10/17/2022,32.27,32.59,29.24,29.690001,29.690001,0
10/24/2022,30.65,30.950001,25.75,25.75,25.75,0
10/31/2022,26.91,27.07,24,24.549999,24.549999,0
11/7/2022,25.67,26.59,22.370001,22.52,22.52,0
11/14/2022,23.99,26.219999,22.860001,23.120001,23.120001,0
11/21/2022,24.049999,24.120001,20.32,20.5,20.5,0
11/28/2022,22.09,22.629999,18.950001,19.059999,19.059999,0
12/5/2022,20.299999,23.280001,19.780001,22.83,22.83,0
12/12/2022,24.4,25.84,21.07,22.620001,22.620001,0
12/19/2022,22.629999,24.299999,19.940001,20.870001,20.870001,0
12/26/2022,21.67,22.799999,20.959999,21.67,21.67,0
1/2/2023,23.09,23.76,21,21.129999,21.129999,0
1/9/2023,21.75,22.459999,18.01,18.35,18.35,0
1/16/2023,19.889999,21.709999,18.709999,19.85,19.85,0
1/23/2023,20.209999,20.9,17.969999,18.51,18.51,0
1/30/2023,19.76,20.700001,17.059999,18.33,18.33,0
2/6/2023,19.23,21.940001,18.43,20.530001,20.530001,0
2/13/2023,21.66,21.690001,18.110001,20.02,20.02,0
2/20/2023,21.799999,23.629999,20.889999,21.67,21.67,0
2/27/2023,21.99,22.02,18.16,18.49,18.49,0
3/6/2023,19.049999,28.969999,18.49,24.799999,24.799999,0
3/13/2023,24.049999,30.809999,22.27,25.51,25.51,0
3/20/2023,27.77,28.91,19.940001,21.74,21.74,0
3/27/2023,22.049999,22.93,18.52,18.700001,18.700001,0
4/3/2023,19.790001,20.08,18.35,18.4,18.4,0
4/10/2023,19.389999,20.049999,17.07,17.07,17.07,0
4/17/2023,17.58,17.790001,16.17,16.77,16.77,0
4/24/2023,18.219999,19.860001,15.72,15.78,15.78,0
5/1/2023,16.41,21.33,15.53,17.190001,17.190001,0
5/8/2023,17.73,18.309999,16.360001,17.030001,17.030001,0
5/15/2023,17.440001,18.299999,15.85,16.809999,16.809999,0
5/22/2023,17.450001,20.809999,16.82,17.950001,17.950001,0
5/29/2023,17.559999,18.4,14.42,14.6,14.6,0
6/5/2023,15.28,15.29,13.5,13.83,13.83,0
6/12/2023,14.44,15.06,13.48,13.54,13.54,0
6/19/2023,14.36,14.67,12.73,13.44,13.44,0
6/26/2023,14.43,14.71,12.96,13.59,13.59,0
7/3/2023,13.85,17.08,13.47,14.83,14.83,0
7/10/2023,16.08,16.209999,13.12,13.34,13.34,0
7/17/2023,13.78,14.23,13.12,13.6,13.6,0
7/24/2023,14.29,15.02,12.74,13.33,13.33,0
7/31/2023,13.98,17.42,13.57,17.1,17.1,0
8/7/2023,16.9,18.139999,14.6,14.84,14.84,0
8/14/2023,15.88,18.879999,14.77,17.299999,17.299999,0
8/21/2023,18.030001,18.110001,15.45,15.68,15.68,0
8/28/2023,16.24,16.280001,13.02,13.09,13.09,0
9/4/2023,14.15,15.69,13.58,13.84,13.84,0
9/11/2023,14.17,14.68,12.68,13.79,13.79,0
9/18/2023,14.4,17.540001,13.57,17.200001,17.200001,0
9/25/2023,17.25,19.709999,15.83,17.52,17.52,0
10/2/2023,17.309999,20.879999,16.93,17.450001,17.450001,0
10/9/2023,19.540001,20.780001,15.44,19.32,19.32,0
10/16/2023,19.1,21.83,16.969999,21.709999,21.709999,0
10/23/2023,21.83,23.08,18.65,21.27,21.27,0
10/30/2023,21.129999,21.16,14.91,14.91,14.91,0
11/6/2023,15.39,15.58,14.13,14.17,14.17,0
11/13/2023,15.16,15.19,13.67,13.8,13.8,0
11/20/2023,14.26,14.31,12.45,12.46,12.46,0
11/27/2023,13.14,14.3,12.48,12.63,12.63,0
12/1/2023,12.94,12.96,12.48,12.63,12.63,0
